CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
282805450,72,BROOKLYN,01/25/2023,08:00:00,02/12/2024,18:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,02/26/2024,(null),UNKNOWN,UNKNOWN,U,,25-44,ASIAN / PACIFIC ISLANDER,M,981881,172418,40.639925,-74.008533,"(40.639925, -74.008533)",POINT (-74.008533 40.639925),18180,9,2,7,45
281100588,44,BRONX,01/25/2023,09:45:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,105,FELONY,INSIDE,ROBBERY,(null),PATROL BORO BRONX,388,"ROBBERY,RESIDENTIAL COMMON AREA",RESIDENCE - APT. HOUSE,01/25/2024,(null),25-44,BLACK,M,,25-44,BLACK,M,1004568,243051,40.833773,-73.926576,"(40.833773, -73.926576)",POINT (-73.926576 40.833773),10930,50,5,35,27
281110803,62,BROOKLYN,01/25/2023,10:00:00,01/25/2024,14:40:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,121,FELONY,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO BKLYN SOUTH,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",RESIDENCE - APT. HOUSE,01/25/2024,(null),45-64,ASIAN / PACIFIC ISLANDER,F,,45-64,WHITE,M,989945,160426,40.607009,-73.979487,"(40.607009, -73.979487)",POINT (-73.979487 40.607009),18183,1,2,18,37
281969275,104,QUEENS,01/25/2023,09:00:00,01/25/2023,21:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,353,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,02/07/2024,(null),(null),(null),(null),,25-44,WHITE HISPANIC,F,1013351,198624,40.711807,-73.895027,"(40.711807, -73.895027)",POINT (-73.895027 40.711807),15309,54,3,34,62
281150879,50,BRONX,01/25/2023,14:10:00,01/25/2024,14:35:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO BRONX,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,01/25/2024,(null),UNKNOWN,BLACK,M,,UNKNOWN,UNKNOWN,D,1010400,259174,40.87801,-73.905437,"(40.87801, -73.905437)",POINT (-73.905437 40.87801),11272,48,5,40,33
284327985,1,MANHATTAN,01/26/2023,15:00:00,03/25/2024,15:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,(null),PATROL BORO MAN SOUTH,638,"HARASSMENT,SUBD 3,4,5",STREET,03/25/2024,(null),25-44,WHITE,F,,45-64,WHITE HISPANIC,M,984253,202906,40.723609,-73.999989,"(40.723609, -73.999989)",POINT (-73.999989 40.723609),12075,57,4,32,1
281353330,115,QUEENS,01/26/2023,08:30:00,01/30/2024,10:55:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,(null),PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,303,"LARCENY,PETIT BY CHECK USE",CHECK CASHING BUSINESS,01/30/2024,(null),25-44,BLACK,M,,UNKNOWN,UNKNOWN,D,1022132,215372,40.757742,-73.863261,"(40.757742, -73.863261)",POINT (-73.863261 40.757742),14510,65,3,21,73
281297512,32,MANHATTAN,01/26/2023,12:00:00,01/28/2023,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO MAN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01/29/2024,(null),UNKNOWN,BLACK,M,,45-64,BLACK,M,999748,238024,40.819984,-73.944004,"(40.819984, -73.944004)",POINT (-73.944004 40.819984),12427,18,4,36,20
281650548,48,BRONX,01/26/2023,17:55:00,01/26/2023,18:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO BRONX,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,02/04/2024,(null),18-24,BLACK,M,,18-24,WHITE HISPANIC,F,1014003,247798,40.846774,-73.892458,"(40.846774, -73.892458)",POINT (-73.892458 40.846774),10935,35,5,43,31
282083592,123,STATEN ISLAND,01/27/2023,12:30:00,02/12/2024,13:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO STATEN ISLAND,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,01/12/2024,(null),(null),(null),(null),,45-64,WHITE,M,927935,137682,40.544402,-74.202624,"(40.544402, -74.202624)",POINT (-74.202624 40.544402),10699,15,1,9,77
