Borough,Date,Time,Level of Offense,Location Description,Crime Description,Latitude,Longitude,Lat_Lon
Brooklyn,01/25/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.639925,-74.008533,"(40.639925, -74.008533)"
Bronx,01/25/2023,09:45:00,FELONY,INSIDE,"ROBBERY,RESIDENTIAL COMMON AREA",40.833773,-73.926576,"(40.833773, -73.926576)"
Brooklyn,01/25/2023,10:00:00,FELONY,INSIDE,"MISCHIEF,CRIMINAL,    UNCL 2ND",40.607009,-73.979487,"(40.607009, -73.979487)"
Queens,01/25/2023,09:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",40.711807,-73.895027,"(40.711807, -73.895027)"
Bronx,01/25/2023,14:10:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.87801,-73.905437,"(40.87801, -73.905437)"
Manhattan,01/26/2023,15:00:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.723609,-73.999989,"(40.723609, -73.999989)"
Queens,01/26/2023,08:30:00,MISDEMEANOR,(null),"LARCENY,PETIT BY CHECK USE",40.757742,-73.863261,"(40.757742, -73.863261)"
Manhattan,01/26/2023,12:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.819984,-73.944004,"(40.819984, -73.944004)"
Bronx,01/26/2023,17:55:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.846774,-73.892458,"(40.846774, -73.892458)"
Staten Island,01/27/2023,12:30:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.544402,-74.202624,"(40.544402, -74.202624)"
Brooklyn,01/27/2023,19:25:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.72115,-73.96083,"(40.72115, -73.96083)"
Brooklyn,01/27/2023,00:59:00,MISDEMEANOR,FRONT OF,ASSAULT 3,40.683403,-73.942474,"(40.683403, -73.942474)"
Queens,01/27/2023,00:01:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.722947,-73.813654,"(40.722947, -73.813654)"
Brooklyn,01/28/2023,22:00:00,FELONY,FRONT OF,"LARCENY,GRAND OF AUTO",40.682293,-73.912992,"(40.682293, -73.912992)"
Queens,01/28/2023,19:45:00,FELONY,(null),"MISCHIEF, CRIMINAL 3 & 2, OF M",40.75894906459743,-73.83190961621168,"(40.75894906459743, -73.83190961621168)"
Queens,01/28/2023,16:52:00,MISDEMEANOR,(null),"INTOXICATED DRIVING,ALCOHOL",40.77006271254405,-73.91807989320797,"(40.77006271254405, -73.91807989320797)"
Brooklyn,01/29/2023,00:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.635154,-74.030699,"(40.635154, -74.030699)"
Brooklyn,01/29/2023,13:00:00,FELONY,FRONT OF,WEAPONS POSSESSION 3,40.66371,-73.890368,"(40.66371, -73.890368)"
