Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Bronx,04/22/2023,Special Event,Crotona Park,FELONY,"CONTROLLED SUBSTANCE,SALE 1"
Bronx,04/30/2023,Sport - Youth,Patterson Playground,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Bronx,05/10/2023,Special Event,Barretto Point Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,05/31/2023,Special Event,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,06/01/2023,Sport - Adult,Bronx Park,MISDEMEANOR,ASSAULT 3
Bronx,06/08/2023,Special Event,Crotona Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Bronx,06/10/2023,Sport - Youth,Co-op City Field,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Bronx,06/16/2023,Special Event,Willis Playground,FELONY,UNAUTHORIZED USE VEHICLE 2
Bronx,06/25/2023,Special Event,Pelham Bay Park and Orchard Beach,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Bronx,07/17/2023,Sport - Youth,Barretto Point Park,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Bronx,07/28/2023,Special Event,Crotona Park,FELONY,"CONTROLLED SUBSTANCE,SALE 3"
Bronx,08/15/2023,Sport - Youth,Haffen Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Bronx,08/24/2023,Sport - Adult,Pelham Bay Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Bronx,09/01/2023,Special Event,St. Mary's Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,09/15/2023,Sport - Youth,Castle Hill Little League,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Bronx,09/17/2023,Special Event,Bronx Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Bronx,09/20/2023,Sport - Youth,Goble Playground,FELONY,"LARCENY,GRAND OF AUTO"
Bronx,09/23/2023,Special Event,Pelham Bay Park and Orchard Beach,MISDEMEANOR,"THEFT OF SERVICES, UNCLASSIFIE"
Bronx,10/02/2023,Sport - Youth,Fordham Landing Playground,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Bronx,10/10/2023,Sport - Adult,Bufano Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Bronx,10/11/2023,Sport - Adult,Reverend T. Wendell Foster Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Bronx,10/12/2023,Special Event,St. Mary's Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Bronx,10/14/2023,Sport - Youth,Behagen Playground,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Bronx,10/17/2023,Sport - Youth,Crotona Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Bronx,10/20/2023,Sport - Adult,Van Cortlandt Park,FELONY,SEXUAL ABUSE
Bronx,10/20/2023,Sport - Adult,Van Cortlandt Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,11/02/2023,Special Event,Mount Eden Malls,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Bronx,11/03/2023,Special Event,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT BY DISHONEST EMP"
Bronx,11/06/2023,Sport - Youth,Marble Hill Playground,MISDEMEANOR,ASSAULT 3
Bronx,11/07/2023,Sport - Youth,Castle Hill Little League,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Bronx,11/10/2023,Special Event,Hunts PointPlayground,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Bronx,11/16/2023,Sport - Youth,Ferry Point Park,MISDEMEANOR,"MISCHIEF, CRIMINAL 4, BY FIRE"
Bronx,11/17/2023,Sport - Adult,Williamsbridge Oval,FELONY,"IMPRISONMENT 1,UNLAWFUL"
Bronx,11/19/2023,Sport - Youth,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,11/20/2023,Sport - Youth,Crotona Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,11/22/2023,Sport - Youth,Marble Hill Playground,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Bronx,11/28/2023,Sport - Youth,Ambrosini Field,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,12/06/2023,Sport - Youth,Field Of Dreams Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,12/07/2023,Sport - Youth,St. James Park,MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
